#timestamp x y z q_x q_y q_z q_w
4999.505816079 -0.148566976855501 0.337926019143708 0.16577024446206 0.000876309268800697 0.0510106902021536 -0.0623669874804269 0.996748463976635
5000.505880216 0.000660494028291201 0.260191411392529 0.160550127374011 0.0181630798098829 0.0402512774332192 -0.0579115331293351 0.997344570109761
5001.50587428 0.336352307065193 0.137643994386923 0.146449198756634 0.0241365423088795 0.0499168396778445 -0.115828461350072 0.991720476738895
5002.50568852 0.90736781114662 -0.188291949721632 0.0336411530957196 0.00951587572528776 0.0600971864514551 -0.126187415993242 0.9901386328867
5003.505766983 1.21928397666796 -0.31420813349393 -0.0103097782020349 0.00881514049945707 0.0659914304382571 -0.146453290593245 0.986974598498408
5004.50580684 1.99835690963892 -0.563943660594733 -0.107874309051711 0.0293317037816855 0.0713394139028634 -0.208901154613234 0.974890069073694
5005.505692816 3.13704766708987 -0.983519843238746 -0.294923518404957 0.0511323722148542 0.0789493881457736 -0.23796984105586 0.966707209743948
5006.505661215 4.70818932021409 -1.92934656576227 -0.570405607471471 0.0562757197728758 0.0894197639818874 -0.274649060044373 0.955722262474931
5007.505601736 6.72983961322162 -3.37031600793168 -1.06031751059707 0.0515148054712706 0.107858718329876 -0.299446948485273 0.946596137082936
5008.505539896 9.77325016097348 -5.45571705014843 -1.93315695893803 0.0483043479846752 0.129306621693815 -0.258411074086473 0.956122483963933
5009.505621407 13.9505274033129 -8.07919444899793 -3.26787469892545 0.0513761912363674 0.162201704689691 -0.298277827699993 0.939191903432069
5010.505602664 20.0618400214421 -11.6072709218842 -5.07544292774945 0.0357033250250305 0.199563105519582 -0.298910250692313 0.932497990093581
5011.505616839 29.168891310155 -16.2129106411133 -7.51424104884256 -0.00599733598941279 0.220016813350096 -0.303268486357065 0.92713799349771
5012.505665224 41.3315635119244 -20.7625211557227 -10.3317803211698 -0.0539147614844302 0.165043554339328 -0.299379947084874 0.938203320687227
5013.505700319 54.8873181690019 -24.2386311217258 -13.4127876478588 -0.0801191142698519 0.0793005159876891 -0.296386372364305 0.948392046555321
5014.50560972 69.8163593258614 -26.1359861622542 -16.6901950815766 -0.0749626104168517 0.0627960625886931 -0.316189908838492 0.943642518706906
5015.505650895 84.0661907425187 -25.4835316481767 -20.1010969151771 -0.083939776556529 0.0295007973388073 -0.307583496706153 0.947352209804774
5016.505592552 99.2987587791685 -22.6609735810829 -23.8580904001876 -0.0917936967853891 0.0231746102558289 -0.318672271164112 0.943125038508164
5017.505777776 115.771490540942 -19.6632388286572 -27.3776350779228 -0.0697868152244192 0.0591625021379881 -0.335088540572352 0.937734114095596
5018.505730296 132.224368327506 -15.2895749497332 -31.0564071672451 -0.0318632044834562 0.0407442349380736 -0.37713962683184 0.924710952348057
5019.505612255 148.517348316475 -9.75845611996824 -34.7976660655657 -0.0225586606569188 0.0283640341791491 -0.389295844876097 0.920399551041072
